VDC@1, net@82, net@3, net@105, net@126, net@148, net@170, net@193, net@215, net@237, net@258, net@256, net@266, net@272, net@404, net@452, net@454, net@444, net@632, net@634, net@624, net@1163, vdd, 
0.000000e+00, 1.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, -6.946742e-22, -6.946742e-22, -6.946742e-22, 0.000000e+00, -6.946742e-22, -6.946742e-22, -6.946742e-22, -6.946742e-22, -6.946742e-22, -6.946742e-22, -6.946742e-22, 1.000000e+00, 
1.000000e-02, 1.000000e+00, 1.000000e-02, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, -8.447694e-22, -8.447694e-22, -8.447694e-22, 0.000000e+00, -8.447694e-22, -8.447694e-22, -8.447694e-22, -8.447694e-22, -8.447694e-22, -8.447694e-22, -8.447694e-22, 1.000000e+00, 
2.000000e-02, 1.000000e+00, 2.000000e-02, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, -1.025312e-21, -1.025312e-21, -1.025312e-21, 0.000000e+00, -1.025312e-21, -1.025312e-21, -1.025312e-21, -1.025312e-21, -1.025312e-21, -1.025312e-21, -1.025312e-21, 1.000000e+00, 
3.000000e-02, 1.000000e+00, 3.000000e-02, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, -1.241495e-21, -1.241495e-21, -1.241495e-21, 0.000000e+00, -1.241495e-21, -1.241495e-21, -1.241495e-21, -1.241495e-21, -1.241495e-21, -1.241495e-21, -1.241495e-21, 1.000000e+00, 
4.000000e-02, 1.000000e+00, 4.000000e-02, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, -1.502810e-21, -1.502810e-21, -1.502810e-21, 0.000000e+00, -1.502810e-21, -1.502810e-21, -1.502810e-21, -1.502810e-21, -1.502810e-21, -1.502810e-21, -1.502810e-21, 1.000000e+00, 
5.000000e-02, 1.000000e+00, 5.000000e-02, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, -1.813560e-21, -1.813560e-21, -1.813560e-21, 0.000000e+00, -1.813560e-21, -1.813560e-21, -1.813560e-21, -1.813560e-21, -1.813560e-21, -1.813560e-21, -1.813560e-21, 1.000000e+00, 
5.999999e-02, 1.000000e+00, 5.999999e-02, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, -2.185387e-21, -2.185387e-21, -2.185387e-21, 0.000000e+00, -2.185387e-21, -2.185387e-21, -2.185387e-21, -2.185387e-21, -2.185387e-21, -2.185387e-21, -2.185387e-21, 1.000000e+00, 
6.999999e-02, 1.000000e+00, 6.999999e-02, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, -2.631046e-21, -2.631046e-21, -2.631046e-21, 0.000000e+00, -2.631046e-21, -2.631046e-21, -2.631046e-21, -2.631046e-21, -2.631046e-21, -2.631046e-21, -2.631046e-21, 1.000000e+00, 
7.999999e-02, 1.000000e+00, 7.999999e-02, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, -3.163112e-21, -3.163112e-21, -3.163112e-21, 0.000000e+00, -3.163112e-21, -3.163112e-21, -3.163112e-21, -3.163112e-21, -3.163112e-21, -3.163112e-21, -3.163112e-21, 1.000000e+00, 
8.999999e-02, 1.000000e+00, 8.999999e-02, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, -3.791148e-21, -3.791148e-21, -3.791148e-21, 0.000000e+00, -3.791148e-21, -3.791148e-21, -3.791148e-21, -3.791148e-21, -3.791148e-21, -3.791148e-21, -3.791148e-21, 1.000000e+00, 
